tmsScanline                 84 instructions  (0x000000c4 bytes)
vrEmuTmsFrameScanline      320 instructions  (0x000002ec bytes)
vrEmuTmsFrameUpdateInterrupts   103 instructions  (0x000000f8 bytes)
vrEmuTmsPaletteRegenerate   268 instructions  (0x00000264 bytes)
tmsEndOfFrame               30 instructions  (0x00000042 bytes)
tmsEndOfScanline             4 instructions  (0x00000008 bytes)
tmsPorch                     4 instructions  (0x00000008 bytes)
vrEmuTmsFramePorch          11 instructions  (0x00000024 bytes)
vrEmuTmsFrameEndOfScanline    62 instructions  (0x000000a4 bytes)
vrEmuTmsFrameEnd           199 instructions  (0x000001e4 bytes)
vrEmuTmsConfigApply        206 instructions  (0x0000028c bytes)
main                       242 instructions  (0x00000294 bytes)
reloadStoredConfig          91 instructions  (0x000000ec bytes)
applyConfigHostEffects      12 instructions  (0x00000020 bytes)
vrEmuTms9918ScanLine       210 instructions  (0x000001f8 bytes)
vrEmuTmsDiagRender         354 instructions  (0x00000318 bytes)
vrEmuTmsDiagRenderText     135 instructions  (0x00000114 bytes)
vrEmuTmsDiagUpdate         991 instructions  (0x00000950 bytes)
vrEmuTmsSplashRender        93 instructions  (0x000000c8 bytes)
tmsReadIrqHandler          103 instructions  (0x000000f0 bytes)
tmsWriteIrqHandler         170 instructions  (0x0000017c bytes)
gpioIrqHandler              93 instructions  (0x00000100 bytes)
initLookups.part.0         136 instructions  (0x00000150 bytes)
stageGfxITilesF18A        5878 instructions  (0x00003050 bytes)
stageSpritesAbove            4 instructions  (0x00000008 bytes)
stageSpritesBelow            4 instructions  (0x00000008 bytes)
vrEmuTms9918OutputSprites  2221 instructions  (0x00001248 bytes)
vrEmuTms9918BitmapLayerScanLine   690 instructions  (0x00000588 bytes)
